Date,Price,Floor
23.10.24,"13억 3,000",114동 33층
23.09.16,"13억 2,500",111동 9층
23.09.01,14억,113동 30층
23.08.30,"14억 2,000",113동 32층
23.08.12,"13억 8,000",113동 8층
23.07.25,"12억 9,000",111동 4층
23.06.23,"13억 4,000",114동 27층
23.06.21,"12억 5,000",104동 5층
23.05.26,12억,113동 3층
23.04.28,"13억 1,500",111동 22층
23.04.19,"12억 7,000",113동 26층
23.03.09,"13억 3,800",111동 21층
23.02.16,"12억 9,000",112동 24층
22.11.19,"12억 2,000",109동 11층
22.06.20,취소15억,109동 11층
22.05.24,"15억 2,500",112동 21층
22.03.31,"14억 8,000",111동 4층
22.03.18,"14억 6,000",104동 16층
22.01.29,14억,113동 26층
21.09.24,"취소15억 4,000",109동 4층
21.09.09,"16억 4,700",111동 13층
21.08.21,"16억 3,000",112동 21층
21.08.14,"16억 4,000",113동 30층
21.07.12,"15억 4,000",109동 4층
21.07.12,"취소15억 4,000",109동 4층
21.06.23,"15억 3,000",112동 29층
21.05.28,14억,109동 4층
21.05.24,"15억 4,000",114동 6층
21.05.15,"15억 5,000",113동 10층
21.04.26,15억,112동 10층
21.02.18,"15억 3,000",112동 21층
21.02.13,"14억 9,900",111동 9층
21.01.23,15억 600,111동 11층
20.12.06,"14억 7,500",112동 30층
20.11.28,14억 500,23층 입주권
20.10.18,"14억 7,000",37층 입주권
20.08.22,"취소14억 2,000",23층 입주권
20.08.15,"14억 7,000",24층 입주권
20.08.08,"14억 3,700",29층 입주권
20.07.18,"취소13억 8,000",7층 입주권
20.07.18,"13억 8,000",7층 입주권
20.07.07,"취소14억 3,700",29층 입주권
20.06.07,14억,25층 입주권
20.02.24,13억,8층 입주권
20.02.24,취소13억,8층 입주권
